mgss,colors
Fannyhessea_vaginae_9,#E8E8FA
Gardnerella,#03048C
Gardnerella_1,#1C1D97
Gardnerella_2,#3637A3
Gardnerella_3,#4F50AE
Gardnerella_4,#6969BA
Gardnerella_5,#8283C6
Gardnerella_6,#9B9CD1
Gardnerella_7,#B5B5DD
Gardnerella_8,#CECEE8
Gardnerella_9,#E8E8F4
Gardnerella_leopoldii,#0C0F91
Gardnerella_leopoldii_1,#24279C
Gardnerella_leopoldii_2,#3D3FA7
Gardnerella_leopoldii_3,#5558B2
Gardnerella_leopoldii_4,#6E70BD
Gardnerella_leopoldii_5,#8688C8
Gardnerella_leopoldii_6,#9FA0D3
Gardnerella_leopoldii_7,#B7B8DE
Gardnerella_leopoldii_8,#D0D1E9
Gardnerella_leopoldii_9,#E8E9F5
Gardnerella_piotii,#151A96
Gardnerella_piotii_1,#2C31A0
Gardnerella_piotii_2,#4448AB
Gardnerella_piotii_3,#5C5FB5
Gardnerella_piotii_4,#7376C0
Gardnerella_piotii_5,#8B8DCB
Gardnerella_piotii_6,#A2A4D5
Gardnerella_piotii_7,#BABCE0
Gardnerella_piotii_8,#D2D3EA
Gardnerella_piotii_9,#E9EAF5
Gardnerella_sp003585845,#1D249A
Gardnerella_sp003585845_1,#343AA4
Gardnerella_sp003585845_2,#4A50AE
Gardnerella_sp003585845_3,#6166B8
Gardnerella_sp003585845_4,#787CC2
Gardnerella_sp003585845_5,#8F92CD
Gardnerella_sp003585845_6,#A6A8D7
Gardnerella_sp003585845_7,#BCBEE1
Gardnerella_sp003585845_8,#D3D5EB
Gardnerella_sp003585845_9,#EAEBF5
Gardnerella_swidsinkii,#262F9E
Gardnerella_swidsinkii_1,#3C44A8
Gardnerella_swidsinkii_2,#5159B2
Gardnerella_swidsinkii_3,#676EBC
Gardnerella_swidsinkii_4,#7D83C5
Gardnerella_swidsinkii_5,#9398CF
Gardnerella_swidsinkii_6,#A9ADD9
Gardnerella_swidsinkii_7,#BFC2E2
Gardnerella_swidsinkii_8,#D5D7EC
Gardnerella_swidsinkii_9,#EBECF6
Gardnerella_vaginalis,#2F39A2
Gardnerella_vaginalis_1,#444DAC
Gardnerella_vaginalis_2,#5961B5
Gardnerella_vaginalis_3,#6E75BE
Gardnerella_vaginalis_4,#8389C8
Gardnerella_vaginalis_5,#989DD1
Gardnerella_vaginalis_6,#ADB1DA
Gardnerella_vaginalis_7,#C2C5E4
Gardnerella_vaginalis_8,#D7D9ED
Gardnerella_vaginalis_9,#ECEDF6
Gardnerella_vaginalis_A,#3844A7
Gardnerella_vaginalis_A_1,#4C57B0
Gardnerella_vaginalis_A_2,#606AB9
Gardnerella_vaginalis_A_3,#747DC2
Gardnerella_vaginalis_A_4,#8890CB
Gardnerella_vaginalis_A_5,#9CA2D3
Gardnerella_vaginalis_A_6,#B0B5DC
Gardnerella_vaginalis_A_7,#C4C8E5
Gardnerella_vaginalis_A_8,#D8DBEE
Gardnerella_vaginalis_A_9,#ECEEF7
Gardnerella_vaginalis_B,#3F4FAC
Gardnerella_vaginalis_B_1,#5361B5
Gardnerella_vaginalis_B_2,#6673BD
Gardnerella_vaginalis_B_3,#7984C5
Gardnerella_vaginalis_B_4,#8D96CE
Gardnerella_vaginalis_B_5,#A0A8D6
Gardnerella_vaginalis_B_6,#B3B9DE
Gardnerella_vaginalis_B_7,#C7CBE6
Gardnerella_vaginalis_B_8,#DADDEF
Gardnerella_vaginalis_B_9,#EDEFF7
Gardnerella_vaginalis_C,#5A70B9
Gardnerella_vaginalis_C_1,#6B7EC0
Gardnerella_vaginalis_C_2,#7B8DC7
Gardnerella_vaginalis_C_3,#8C9BCE
