,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Lactobacillus_jensenii.2,2,102,812314,1467830,11346,84225,268350,819329,9375181
Lactobacillus_jensenii.3,3,69,1581456,3789570,10375,80759,254565,1785188,28376941
Lactobacillus_jensenii.4,4,54,1805919,5013387,15266,132554,357082,1170435,26142556
Lactobacillus_jensenii.5,5,47,1095805,3884618,12426,43150,110970,661217,26402924
Lactobacillus_mulieris.1,1,96,842152,1871915,14498,62546,182968,766213,12001692
Lactobacillus_mulieris.2,2,43,150471,198551,15415,42498,64815,186860,1025360
Lactobacillus_mulieris.3,3,40,2578050,6755285,15966,42026,152308,1241688,37209017
Lactobacillus_mulieris.4,4,23,1705762,3321021,16255,164842,687881,1652201,15803324
Lactobacillus_mulieris.5,5,13,374328,375247,53732,131495,193033,630105,1308043
Lawsonella_clevelandensis.1,1,12,37567,20718,10586,22586,37019,44570,79530
Lawsonella_clevelandensis.2,2,24,161193,328004,12216,17706,32004,83978,1313001
Limosilactobacillus,1,37,41440,64904,6057,12094,19939,39768,364056
Limosilactobacillus_coleohominis.1,1,109,136098,239087,13302,36315,63881,121289,1824278
Limosilactobacillus_coleohominis.2,2,28,75533,81771,11971,28592,39890,90158,398917
Limosilactobacillus_coleohominis.3,3,20,87432,102525,14558,27016,53910,86369,380363
Mageeibacillus_indolicus.1,1,164,206999,317374,14969,59595,100056,197180,2097321
Mageeibacillus_indolicus.2,2,87,44860,42423,13516,22038,32602,53444,340121
Mageeibacillus_indolicus.3,3,33,781126,1487686,19467,86831,307588,849582,8324613
Mageeibacillus_indolicus.4,4,32,211801,535774,29359,44910,78060,143106,3071083
Mageeibacillus_indolicus.5,5,24,207744,273309,19136,44660,125620,222212,1207037
Mageeibacillus_indolicus.6,6,22,124981,107636,20266,50699,80411,184876,393385
Mageeibacillus_indolicus.7,7,18,609554,972965,33048,78040,186102,672147,3746631
Malacoplasma_girerdii.1,1,12,78895,244953,3396,4113,6276,8302,856343
Malacoplasma_girerdii.2,2,21,819165,1336576,11566,59027,148519,1169822,5470513
Megasphaera_hutchinsoni.1,1,175,448575,623466,14967,86356,217567,485258,3376722
Megasphaera_hutchinsoni.2,2,69,314816,321661,11366,92310,183219,436250,1645276
Megasphaera_hutchinsoni.3,3,57,526383,1002231,19516,68176,212081,503809,6567009
Megasphaera_hutchinsoni.4,4,22,69817,172888,11339,14456,23492,36766,831093
Megasphaera_lornae.1,1,332,617921,1082722,12331,100316,321534,781914,14514258
Megasphaera_lornae.2,2,275,905634,1071462,18037,272026,593578,1133063,9264431
Megasphaera_lornae.3,3,202,979835,1277588,11505,228446,594252,1321077,10231768
Metamycoplasma_hominis.1,1,53,9216,6102,3914,5753,7903,9686,39798
Metamycoplasma_hominis.2,2,49,61008,110559,4500,14762,25903,45243,582829
Metamycoplasma_hominis.3,3,48,86683,198583,3445,12519,22204,62307,1305624
Metamycoplasma_hominis.4,4,40,217053,473421,13099,36247,81298,129972,2619074
Metamycoplasma_hominis.5,5,39,76045,161562,4343,10607,20991,42971,895165
Metamycoplasma_hominis.6,6,37,43662,40853,6722,18486,25904,55930,161475
Metamycoplasma_hominis.7,7,23,25220,25980,3699,7936,11294,33508,92390
Metamycoplasma_hominis.8,8,22,7002,5846,4011,4672,5826,6832,32513
Metamycoplasma_hominis.9,9,21,43433,66644,4740,12017,19423,31893,266075
Metamycoplasma_hominis.10,10,16,28643,29710,6151,9290,17214,32261,100172
Mobiluncus_curtisii.1,1,161,182400,277990,12848,37271,73642,206073,1998419
Mobiluncus_curtisii.2,2,81,392281,1590297,12910,30501,57701,206905,13713155
Mobiluncus_mulieris.1,1,12,383195,357118,31007,123462,245437,696284,1162384
Mobiluncus_mulieris.2,2,75,1466115,5040891,14173,92630,263916,1009352,41370833
Mobiluncus_mulieris.3,3,44,1005867,2190423,15375,74821,180845,811243,11559214
Mobiluncus_mulieris.4,4,42,2413357,5904651,15201,105123,397058,793259,30007396
Mobiluncus_mulieris.5,5,41,2392985,4079459,34314,202694,592207,2298908,20690251
Mobiluncus_mulieris.6,6,26,27087,9097,13878,20690,25031,32689,53285
Mobiluncus_mulieris.7,7,23,521873,601073,13290,113094,192084,880975,2095270
MultiGenera,1,1813,1842896,3235540,9235,222929,738405,2149340,40416715
Nakaseomyces_glabratus,1,21,95563,123139,11257,22132,68265,107238,583322
Nanoperiomorbus_sp004136275.1,1,275,524013,1664984,4446,28102,126563,475633,22088261
Nanoperiomorbus_sp004136275.2,2,70,833332,1622129,6726,89422,213894,725054,8825769
Nanoperiomorbus_sp004136275.3,3,46,893781,1611059,6319,70179,227518,927352,8081695
Olegusella_massiliensis.1,1,17,64385,91361,11418,23716,33328,59313,392036
